nom films;liens vidéo;chemin accès;acteurs;genre;date_sortie;section;nouveaute
300;https://www.youtube.com/watch?v=YNTY7tnmsxY&t=36s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\300.jpg;Gerard Butler, Lena Headey;action, guerre;2007;bluray;
2012;https://www.youtube.com/watch?v=m33rzUxflto&t=25s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\2012.jpg;John Cusack, Chiwetel Ejiofor, Amanda Peet;science-fiction, catastrophe;2009;bluray;
1789_les_amants_de_la_bastille;https://www.youtube.com/watch?v=VDDrh8UmjoU;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\1789_les_amants_de_la_bastille.jpg;;musical;;dvd;
24_heure_limit;https://www.youtube.com/watch?v=zrCb5klZZCc;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\24_heure_limit.jpg;Ethan Hawke;thriller, action;2017;bluray;
50_nuances_de_grey;https://www.youtube.com/watch?v=9G7oSGWHSVc&t=49s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\50_nuances_de_grey.jpg;Dakota Johnson, Jamie Dornan;romance, drame;2015;bluray;
50_nuances_plus_claire;https://www.youtube.com/watch?v=p-2dGdfZzL4;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\50_nuances_plus_claire.jpg;Dakota Johnson, Jamie Dornan;romance, drame;2018;bluray;
50_nuances_plus_sombre;https://www.youtube.com/watch?v=0Ah1o0ZZjNY;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\50_nuances_plus_sombre.jpg;Dakota Johnson, Jamie Dornan;romance, drame;2017;bluray;
60_secondes_chrono;https://www.youtube.com/watch?v=uhg-Y93I9-A;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\60_secondes_chrono.jpg;;action;2000;bluray;
a_star_is_born;https://www.youtube.com/watch?v=jsg9NxCBzFs&t=31s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\a_star_is_born.jpg;Bradley Cooper, Lady Gaga;musical, drame;2018;bluray;
ad_astra;https://www.youtube.com/watch?v=Gf97Szc_UfI;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\ad_astra.jpg;;science-fiction;2019;bluray;
african_bambi;https://www.youtube.com/watch?v=EDzq285OJ2g;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\african_bambi.jpg;;;;enfant;
aladdin;https://www.youtube.com/watch?v=IrzzGm3AmLg&t=31s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aladdin.jpg;Mena Massoud, Naomi Scott;aventure;2019;bluray, enfant;
aladdin_animé;https://www.youtube.com/watch?v=NZqFRTbi7IE;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aladdin_animé.jpg;;dessin animé;;enfant;
alerte_rouge;https://www.youtube.com/watch?v=41pXKTSrC_g;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\alerte_rouge.jpg;;dessin animé;;enfant;
alibi_com;https://www.youtube.com/watch?v=hXUggM713X4&t=68s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\alibi_com.jpg;Philippe Lacheau, Élodie Fontan;comédie;2017;bluray;
alice_au_pays_des_merveilles;https://www.youtube.com/watch?v=ePElCshaYpQ;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\alice_au_pays_des_merveilles.jpg;;dessin animé;;enfant;
aliens_1;https://www.youtube.com/watch?v=j3CFj1R9HbQ&t=35s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_1.jpg;Sigourney Weaver;horreur, science-fiction;1979;bluray;
aliens_2;https://www.youtube.com/watch?v=gaJFi3LiFOQ&t=25s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_2.jpg;Sigourney Weaver, Michael Biehn;horreur, science-fiction;1986;bluray;
aliens_3;https://www.youtube.com/watch?v=qL-NR79zS7A;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_3.jpg;Sigourney Weaver, Charles S. Dutton;horreur, science-fiction;1992;bluray;
aliens_4;https://www.youtube.com/watch?v=JMpSSEWoqWA&t=25s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_4.jpg;;horreur, science-fiction;1997;bluray;
aliens_5;https://www.youtube.com/watch?v=o_rfh8wBnGE;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_5.jpg;Sigourney Weaver, Winona Ryder;horreur, science-fiction;2017;bluray;
aliens_6_prometeus;https://www.youtube.com/watch?v=Oxv5SP3sags&t=53s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\aliens_6_prometeus.jpg;Noomi Rapace, Michael Fassbender;horreur, science-fiction;2012;bluray;
alita;https://www.youtube.com/watch?v=c4nJBG8xB7s;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\alita.jpg;Rosa Salazar, Christoph Waltz;science-fiction;2019;bluray;
amercican_nigthmare_1;https://www.youtube.com/watch?v=AVRk-UhPkHU;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\amercican_nigthmare_1.jpg;Ethan Hawke, Lena Headey;horreur, action;2013;bluray;
amercican_nigthmare_2;https://www.youtube.com/watch?v=tpNKIBt-pXA;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\amercican_nigthmare_2.jpg;Frank Grillo, Carmen Ejogo;horreur, action;2014;bluray;
amercican_nigthmare_3;https://www.youtube.com/watch?v=FW8CqyN7esE;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\amercican_nigthmare_3.jpg;Frank Grillo, Elizabeth Mitchell;horreur, action;2016;bluray;
amercican_nigthmare_4;https://www.youtube.com/watch?v=O6_CqoAT2bM;C:\Users\odefaudlegros\Documents\films papa\videotheque\images\amercican_nigthmare_4.jpg;Y'lan Noel, Lex Scott Davis;horreur, action;2018;bluray;
